id,title,author,publisher,published_at,subjects
1,Re-engineered didactic benchmark,Katya Cansfield,Goodwin-Blick,2018-10-24,Sci-Fi|Thriller
2,Reverse-engineered mission-critical help-desk,Rene Gracewood,"Vandervort, Fisher and Nolan",2004-12-28,Comedy|Western
3,Proactive encompassing local area network,Guglielmo Scramage,Rolfson and Sons,1971-05-04,Horror|Sci-Fi
4,Down-sized static system engine,Clementia Absolem,Reichert-Abshire,2005-06-07,Animation|Children|Comedy|Musical
5,Diverse client-driven knowledge user,Iseabal Skittrall,Hoppe Group,2009-10-27,Comedy
6,Networked systemic definition,Filmore Wermerling,Jenkins-Langosh,2019-08-03,Drama|Film-Noir
7,Reduced upward-trending Graphical User Interface,Jori Ogilby,"Weber, Runolfsdottir and Kuhic",1973-08-07,Drama
8,User-friendly uniform intranet,Kass Searl,Herzog-Nader,1977-10-26,Action|Comedy|Drama
9,Adaptive fault-tolerant knowledge base,Freddi De Courtney,"Brakus, Rohan and Roberts",1977-08-31,Drama
10,Future-proofed global database,Desdemona Hawley,"Hermann, Muller and Abernathy",2013-01-06,Adventure
11,Public-key explicit standardization,Prue Merrgen,Windler Group,2016-12-05,Comedy
12,Business-focused responsive matrices,Tyler Gladdish,Halvorson Group,1991-07-05,Documentary|War
13,Centralized human-resource archive,Loretta Drake,Ondricka Group,2000-06-10,Drama|War
14,Persevering local capacity,Milt Drain,"Dickinson, Wolf and Kassulke",1993-07-25,Drama|Thriller
15,Right-sized multi-state methodology,Barnie Hue,"Bartoletti, Koss and Bashirian",2003-03-30,Action|Drama|Fantasy
16,Compatible zero defect migration,Cristen Rafe,Witting-Ledner,1975-11-27,Drama
17,Total 4th generation intranet,Hali Rosten,"Conn, Doyle and Doyle",2014-09-24,Children|Comedy|Musical
18,Object-based optimizing knowledge user,Suzi Lailey,Sporer-Kris,2001-07-26,Drama
19,Open-source directional adapter,Gib Gaspard,Wolff Group,2004-06-02,Comedy|Drama
20,Inverse radical attitude,Verla Tidd,Huels-Goodwin,2007-06-25,Comedy
21,Fully-configurable cohesive hierarchy,Karie Huggill,"Reichel, Williamson and Willms",2004-03-30,Comedy|Sci-Fi
22,Sharable tangible policy,Andree Valiant,"Nader, Crist and Greenfelder",2012-11-15,Drama
23,Quality-focused analyzing function,Munroe McGill,"Prohaska, McLaughlin and Daniel",2011-05-15,Animation|Musical
24,Multi-lateral actuating array,Marcelia Michell,Graham-Zulauf,1991-09-28,Comedy|Drama
25,Expanded zero defect local area network,Eugen Tadlow,Schneider-Ledner,1988-02-21,Drama
26,Networked next generation array,Karon Poulglais,Fritsch Group,2006-09-13,Children|Drama
27,Inverse stable parallelism,Ayn Passman,"Swaniawski, Sawayn and Jacobi",1994-08-06,Action|Drama|War
28,Cross-platform empowering moderator,Ophelia Amorine,Reynolds Group,1994-05-18,Drama
