id,member_id,book_id,date_of_issue,due_date
1,46,48,2020-04-11,2020-11-29
2,5,29,2020-02-26,2021-03-24
3,7,21,2020-04-03,2020-12-23
4,55,77,2020-05-18,2021-05-01
5,91,82,2020-03-01,2021-02-04
6,43,46,2019-08-26,2021-04-14
7,88,67,2019-12-16,2021-05-24
8,22,29,2019-07-24,2020-09-25
9,80,84,2020-02-06,2020-07-12
10,4,33,2019-08-16,2021-05-12
11,53,78,2020-01-08,2020-11-15
12,11,68,2020-02-27,2021-05-16
13,26,90,2019-08-02,2021-03-04
14,3,78,2019-11-02,2020-08-24
15,5,93,2019-12-18,2021-06-13
16,34,76,2020-04-19,2020-09-10
17,70,4,2019-12-30,2020-08-02
18,3,38,2019-09-01,2020-10-17
19,41,39,2020-05-13,2021-03-14
20,39,80,2020-05-12,2020-08-31
21,3,98,2019-08-23,2021-04-19
22,11,6,2019-10-22,2020-12-30
23,14,23,2019-09-04,2020-09-28
24,43,76,2020-02-26,2021-04-20
25,6,73,2020-04-20,2021-01-27
26,95,36,2019-07-18,2021-02-20
27,36,15,2020-05-17,2020-10-22
28,100,53,2020-02-17,2020-09-05
29,80,72,2019-12-26,2021-02-14
30,68,19,2019-09-13,2020-10-22
31,60,44,2019-07-16,2021-04-20
32,4,13,2019-09-09,2021-02-03
33,59,69,2019-07-01,2021-05-13
34,46,77,2020-03-04,2021-05-19
35,83,1,2019-11-21,2021-04-24
36,86,13,2020-02-01,2021-02-06
37,83,80,2019-09-24,2020-08-10
38,33,4,2019-08-02,2020-10-26
39,59,14,2020-01-01,2021-04-05
40,99,94,2020-02-04,2020-11-01
41,30,71,2020-01-23,2020-07-08
42,91,94,2019-12-13,2021-01-17
43,75,48,2019-11-27,2020-08-17
44,61,4,2019-08-12,2021-06-13
45,95,73,2019-11-19,2021-03-05
46,88,98,2020-04-19,2020-10-25
47,7,29,2019-10-13,2020-12-24
48,11,15,2019-11-29,2021-04-25
49,73,14,2020-03-17,2020-07-15
50,96,8,2019-10-20,2020-10-30
51,46,78,2019-09-17,2020-08-20
52,32,36,2020-03-04,2020-07-27
53,19,75,2020-04-24,2021-04-09
54,63,22,2019-07-13,2021-01-19
55,98,33,2020-05-14,2020-12-25
56,76,41,2020-05-07,2021-01-11
57,42,7,2020-03-11,2020-10-06
58,75,35,2020-01-23,2020-06-20
59,11,23,2019-06-29,2020-09-06
60,77,79,2019-08-16,2020-08-24
61,93,70,2019-09-09,2021-02-19
62,93,32,2020-05-31,2020-12-27
63,24,63,2020-02-26,2021-05-02
64,67,78,2020-05-26,2021-03-09
65,13,31,2019-06-18,2020-10-05
66,44,83,2019-10-08,2020-07-10
67,86,70,2020-03-02,2020-08-01
68,55,78,2019-11-30,2021-03-28
69,24,86,2019-09-03,2020-07-29
70,13,30,2019-09-27,2020-10-01
71,34,87,2019-10-16,2020-09-21
72,1,48,2020-04-07,2021-04-19
73,36,41,2020-04-15,2020-10-06
74,84,96,2020-01-03,2021-01-25
75,67,91,2019-10-29,2020-08-25
76,86,60,2019-06-25,2020-07-22
77,85,93,2020-04-28,2020-12-29
78,84,77,2020-05-11,2021-04-24
79,9,75,2019-11-27,2021-02-06
80,25,84,2019-08-01,2021-01-14
81,56,63,2019-07-12,2020-11-15
82,57,32,2019-06-16,2021-02-21
83,16,41,2020-05-29,2020-10-27
84,55,1,2019-11-20,2020-09-21
85,7,90,2020-01-26,2020-12-16
86,20,20,2019-11-29,2020-10-01
87,41,25,2019-06-23,2020-07-19
88,1,91,2019-09-11,2020-12-12
89,67,59,2020-05-26,2021-04-14
90,4,26,2020-01-21,2021-06-02
91,15,85,2019-09-08,2020-12-14
92,15,19,2019-07-05,2020-10-06
93,8,90,2020-03-02,2020-09-14
94,38,93,2019-10-01,2021-03-11
95,76,7,2019-12-20,2020-10-27
96,59,96,2019-09-08,2020-06-19
97,71,63,2019-09-23,2021-03-17
98,97,9,2020-04-12,2021-01-03
99,46,5,2019-09-16,2021-03-04
100,89,92,2019-08-13,2020-08-01
